year,department,county,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so
2014,Beatrice P.D.,Gage,17,3,0,0,10,2,0,0,0,0,12092,2.5,0
2014,Bellevue P.D.,Sarpy,87,6,0,0,16,6,3,0,1,1,54251,2,0
2014,Blair P.D.,Washington,15,1,2,0,3,2,1,3,0,0,7986,2.4,0
2014,Chadron P.D.,Dawes,14,0,0,0,7,0,0,0,0,0,5773,3.6,0
2014,Columbus P.D.,Platte,32,4,0,0,14,1,0,0,0,1,22614,2.2,0
2014,Crete P.D.,Saline,9,3,3,0,5,2,0,0,0,0,7171,2.4,0
2014,Fremont P.D.,Dodge,33,1,1,0,5,1,5,1,1,0,26322,1.5,3
2014,Gering P.D.,Scotts Bluff,16,0,0,0,3,0,0,0,0,0,8469,2.2,0
2014,Grand Island P.D.,Hall,80,7,0,0,16,7,0,0,0,1,50999,2,0
2014,Hastings P.D.,Adams,32,4,0,0,16,2,2,0,0,0,25070,2.1,0
2014,Holdrege P.D.,Phelps,10,0,0,0,5,0,0,0,0,0,5536,2.7,0
2014,Kearney P.D.,Buffalo,49,2,0,0,13,0,3,0,0,0,32513,2,0
2014,LaVista P.D.,Sarpy,32,3,0,0,5,1,0,0,0,0,17955,2.2,0
2014,Lexington P.D.,Dawson,19,0,0,0,2,0,0,0,0,0,10195,2.1,0
2014,Lincoln P.D.,Lancaster,266,54,0,0,140,11,3,0,15,0,271208,1.7,0
2014,McCook P.D.,Red Willow,13,2,0,0,5,2,1,0,0,0,7697,2.6,0
2014,Nebraska City P.D.,Otoe,13,1,0,0,1,0,0,0,0,0,7243,2.1,0
2014,Norfolk P.D.,Madison,37,0,0,0,17,0,3,0,0,0,24588,2.2,0
2014,North Platte P.D.,Lincoln,39,2,0,0,25,1,0,0,1,0,24490,2.7,0
2014,Omaha P.D.,Douglas,646,147,33,8,135,26,11,0,23,0,438465,2.1,0
2014,Papillion P.D.,Sarpy,34,4,0,0,4,1,2,0,0,0,22606,1.9,0
2014,Plattsmouth P.D.,Cass,13,1,0,0,3,0,0,0,0,0,6460,2.6,3
