County,Agency,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
Seward,Milford P.D.,57,76,52,31,28,26,0,24,32,39,30,39,39,38,0,0,0,511
Seward,Nebraska State Patrol,7,0,1,0,0,4,2,4,2,2,1,1,0,2,2,0,1,29
Sheridan,Sheridan CO. S.O.,113,86,102,122,101,89,82,100,87,102,81,123,121,119,69,76,66,1639
Sheridan,Gordon P.D.,184,192,152,139,43,0,0,82,113,91,95,106,95,88,0,0,0,1380
Sheridan,Nebraska State Patrol,3,3,2,0,4,0,1,7,4,8,9,4,2,1,1,3,2,54
Sherman,Sherman CO. S.O.,54,76,72,38,50,44,8,27,26,18,19,24,33,19,32,23,30,593
Sherman,Nebraska State Patrol,0,0,1,2,1,2,1,4,0,4,1,0,1,0,0,0,0,17
Sioux,Sioux CO. S.O.,5,7,4,9,0,0,0,1,0,0,0,0,0,0,0,0,0,26
Sioux,Nebraska State Patrol,0,3,1,1,0,0,0,1,3,5,0,1,0,4,0,1,0,20
Stanton,Stanton CO. S.O.,73,88,78,88,95,93,101,51,71,56,60,80,79,90,61,66,58,1288
Stanton,Nebraska State Patrol,2,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,9
Thayer,Thayer CO. S.O.,79,76,79,62,71,132,95,77,106,77,101,88,98,131,68,54,70,1464
Thayer,Nebraska State Patrol,1,2,1,0,0,0,0,0,0,0,1,0,3,0,0,0,0,8
Thomas,Nebraska State Patrol,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,5
Thurston,Thurston CO. S.O.,24,14,10,14,8,8,5,7,0,0,0,0,0,1,17,51,41,200
Thurston,NB0870500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thurston,Nebraska State Patrol,0,0,0,3,2,4,1,0,0,0,0,0,1,0,0,0,1,12
Valley,Valley CO. S.O.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25
Valley,Ord P.D.,49,39,48,33,38,26,15,10,13,0,0,0,0,0,30,50,45,396
Valley,Nebraska State Patrol,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,7
Washington,Washington CO. S.O.,171,139,224,158,125,120,142,133,154,171,9,148,0,86,114,147,99,2140
Washington,Blair P.D.,237,250,276,279,219,261,247,217,212,223,219,175,197,205,183,216,192,3808
