year,department,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so
2015,Alliance P.D.,14,2,1,5,0,0,0,0,0,0,"8,502",1.9,0
2015,Beatrice P.D.,17,4,5,8,0,0,1,0,0,0,"12,092",1.7,0
2015,Bellevue P.D.,88,8,4,10,0,6,1,0,1,0,"54,251",1.8,0
2015,Blair P.D.,16,1,0,2,1,1,0,2,0,0,"7,986",2.1,0
2015,Chadron P.D.,11,0,4,2,0,1,4,0,0,0,"5,773",1.9,0
2015,Columbus P.D.,32,4,3,11,0,1,0,0,0,0,"22,614",1.6,0
2015,Crete P.D.,9,3,0,0,3,1,0,0,0,0,"7,171",1.7,0
2015,Fremont P.D.,33,2,0,5,2,1,3,0,0,0,"26,322",1.3,3
2015,Gering P.D.,16,0,0,3,0,0,0,0,0,0,"8,469",1.9,0
2015,Grand Island P.D.,80,7,3,14,0,5,0,0,0,1,"50,999",1.7,0
2015,Hastings P.D.,34,5,1,16,0,2,0,0,0,0,"25,070",1.6,0
2015,Holdrege P.D.,9,0,1,5,0,0,1,0,0,0,"5,536",1.6,0
2015,Kearney P.D.,52,3,6,8,0,0,0,0,0,0,"32,513",1.7,0
2015,LaVista P.D.,30,2,1,4,0,1,2,0,0,0,"17,955",1.8,0
2015,Lexington P.D.,19,0,0,2,0,0,1,0,0,0,"10,195",1.9,0
2015,Lincoln P.D.,273,51,59,99,0,5,0,0,0,0,"271,208",1.2,0
2015,McCook P.D.,15,1,1,4,0,1,0,0,0,1,"7,697",2.1,0
2015,Nebraska City P.D.,13,1,0,1,0,0,0,0,0,0,"7,243",1.9,0
2015,Norfolk P.D.,39,1,3,14,0,0,0,0,0,0,"24,588",1.6,0
2015,North Platte P.D.,37,2,3,21,0,2,2,0,1,0,"24,490",1.6,0
2015,Omaha P.D.,675,151,40,97,42,25,7,0,18,0,"438,465",1.9,0
2015,Papillion P.D.,35,5,1,3,0,1,2,0,0,0,"22,606",1.8,0
2015,Plattsmouth P.D.,13,1,0,3,0,0,0,0,0,0,"6,460",2.2,3
2015,Ralston P.D.,13,1,0,2,0,0,0,0,0,0,"7,586",1.8,0
2015,Schuyler P.D.,5,0,0,2,0,0,3,0,0,0,"6,122",0.8,0
2015,Scottsbluff P.D.,27,3,1,4,0,0,1,0,0,0,"15,009",2,0
2015,Seward P.D.,11,1,0,1,2,0,0,0,0,0,"7,155",1.7,0
2015,Sidney P.D.,12,2,0,2,0,0,0,0,0,0,"6,853",2,0
2015,So. Sioux City P.D.,26,1,0,1,0,1,0,0,0,0,"13,436",2,0
2015,Wayne P.D.,7,0,2,1,1,1,1,0,2,0,"5,511",1.3,0
2015,York P.D.,15,0,1,5,0,0,0,0,0,0,"8,012",1.9,0
2016,Alliance P.D.,12,2,0,7,0,1,2,0,1,0,"8,529",1.6,0
2016,Beatrice P.D.,18,4,6,7,0,2,0,0,0,0,"11,965",1.8,0
2016,Bellevue P.D.,84,8,5,11,0,4,5,0,0,0,"54,595",1.7,0
2016,Blair P.D.,16,1,0,2,1,1,0,0,0,0,"7,981",2.1,0
2016,Chadron P.D.,14,1,4,2,0,1,0,0,0,1,"5,748",2.6,0
2016,Columbus P.D.,28,5,3,13,0,1,3,0,0,0,"22,735",1.5,0
2016,Crete P.D.,9,3,0,1,3,2,0,0,0,0,"7,045",1.7,0
2016,Fremont P.D.,34,3,0,5,2,1,2,0,0,0,"26,521",1.4,2
2016,Gering P.D.,15,1,0,2,0,0,2,0,0,0,"8,335",1.9,0
2016,Grand Island P.D.,78,7,3,14,0,4,2,0,0,0,"51,861",1.6,0
2016,Hastings P.D.,33,6,1,13,0,4,0,0,0,0,"24,849",1.6,0
2016,Holdrege P.D.,9,1,1,5,0,0,0,0,0,0,"5,512",1.8,0
2016,Kearney P.D.,53,3,13,0,0,0,0,0,0,0,"32,885",1.7,0
2016,LaVista P.D.,31,3,1,4,0,1,1,0,0,0,"18,049",1.9,0
2016,Lexington P.D.,21,0,0,2,0,0,0,0,0,0,"10,122",2.1,0
2016,Lincoln P.D.,278,49,50,88,0,10,1,0,0,0,"276,585",1.2,0
2016,Madison P.D.,3,0,1,0,2,0,0,0,3,0,"8,389",0.4,0
2016,Norfolk P.D.,39,1,3,14,0,0,0,0,0,0,"24,490",1.6,0
2016,North Platte P.D.,38,2,22,3,0,2,1,0,0,0,"24,231",1.7,0
2016,Omaha P.D.,700,148,42,98,37,24,3,0,24,0,"452,252",1.9,0
2016,Plattsmouth P.D.,13,1,0,3,0,0,0,0,0,0,"6,484",2.2,2
2016,Ralston P.D.,13,1,0,2,0,1,0,0,0,0,"7,581",1.8,0
2016,Schuyler P.D.,8,0,0,2,1,0,0,0,0,0,"6,155",1.3,0
2016,Scottsbluff P.D.,27,3,4,1,0,0,1,0,0,0,"14,825",2,0
2016,Sidney P.D.,12,2,0,2,0,0,0,0,0,0,"6,960",2,0
2016,Wayne P.D.,7,0,2,2,0,0,1,1,1,0,"5,554",1.3,0
2016,York P.D.,16,0,1,5,0,0,0,0,0,0,"8,008",2,0
